VC Name,Kontaktperson,E-Mail,LinkedIn,Website,Bewerbungsformular,Fokus-Bereiche,Ticket Size,Priorität,Notizen
Accel,Investment Team,info@accel.com,https://linkedin.com/company/accel,https://www.accel.com/,https://www.accel.com/,"Early/Growth Stage VC",€3M - €50M,B,International - Top-Tier VC (Spotify, Facebook invested)
Acorda,Investment Team,info@acorda.de,https://linkedin.com/company/acorda,https://acorda.de/,Kontakt via Website,"B2B Software, Wachstum",€2M - €10M,B,B2B Software Spezialist
ALSTIN Capital,Investment Team,info@alstin.capital,https://linkedin.com/company/alstin-capital,https://alstin.capital/,Kontakt via Website,VC,€1M - €5M,B,München - VC Generalist
Calm/Storm Ventures,Investment Team,hello@calmstorm.vc,https://linkedin.com/company/calm-storm-ventures,https://calmstorm.vc/,Kontakt via Website,"AI, Deep Tech",€500K - €5M,B,HTGF Co-Investor - AI Fokus
Femventix,Investment Team,info@femventix.com,https://linkedin.com/company/femventix,https://femventix.com/,Kontakt via Website,"AI Investments",€100K - €2M,C,AI-fokussierter Angel Fund
B4i (Bosch for Innovation),Investment Team,b4i@bosch.com,https://linkedin.com/company/bosch,https://www.bosch.com/,Über Bosch Ventures,"German Deep Tech",€500K - €5M,B,Bosch-backed Deep Tech Investor
Norrsken,Investment Team,hello@norrsken.org,https://linkedin.com/company/norrsken-foundation,https://www.norrsken.org/,https://www.norrsken.org/vc/,"Climate Tech, AI",€1M - €10M,B,Skandinavien - Climate Tech & AI
Business Angels Deutschland (BAND),Tobias Wittich (BA d. Jahres 2025),info@business-angels.de,https://linkedin.com/company/business-angels-deutschland,https://www.business-angels.de/,https://www.business-angels.de/kontakt/,"Business Angel Netzwerk",€50K - €250K pro Angel,A,Größtes BA-Netzwerk - Zugang zu 500+ Angels
Business Angel Club Berlin Brandenburg (BACB),Matthias Helfrich,info@bacb.de,https://linkedin.com/company/bacb,https://www.bacb.de/,Kontakt via Website,"B2B Software, GreenTech, Food Impact",€50K - €250K pro Angel,B,Berlin/Brandenburg - B2B Software Fokus
InvestorenNetzwerk Wiesbaden (INWI),Matthias Helfrich (Gründer),info@inwi.vc,https://linkedin.com/company/inwi,https://www.inwi.vc/,Kontakt via Website,"B2B Software",€50K - €250K pro Angel,B,Wiesbaden - B2B Software Angels
Business Angels Aachen,Investment Team,info@business-angels-aachen.de,https://linkedin.com/company/business-angels-aachen,https://www.business-angels-aachen.de/,Kontakt via Website,"Tech Startups",€25K - €150K pro Angel,C,Aachen - Regional fokussiert
Venture Stars,Investment Team,hello@venture-stars.com,https://linkedin.com/company/venture-stars,https://www.venture-stars.com/,Kontakt via Website,"B2B SaaS",€100K - €1M,B,München - B2B SaaS Angel Syndicate
German Accelerator,Program Team,info@germanaccelerator.com,https://linkedin.com/company/german-accelerator,https://www.germanaccelerator.com/,https://www.germanaccelerator.com/apply/,"Tech Startups (US Market Entry)",Accelerator + Network,B,Staatlich - US Market Entry Support
Plug and Play Tech Center,Investment Team,info@pnptc.com,https://linkedin.com/company/plug-and-play-tech-center,https://www.plugandplaytechcenter.com/,https://www.plugandplaytechcenter.com/,"IoT, Supply Chain, Mobility",Accelerator + €100K-€500K,B,Global Accelerator mit Deutschland-Office
SpinLab - The HHL Accelerator,Program Team,info@spinlab.co,https://linkedin.com/company/spinlab,https://www.spinlab.co/,https://www.spinlab.co/apply/,"Tech Startups",Accelerator + bis €25K,C,Leipzig - HHL-backed Accelerator
Hub:raum (Deutsche Telekom),Investment Team,info@hubraum.com,https://linkedin.com/company/hubraum,https://www.hubraum.com/,https://www.hubraum.com/,"IoT, 5G, Cloud",Accelerator + Funding,B,Telekom Corporate Accelerator - IoT/Cloud Fokus
Main Incubator (Commerzbank),Investment Team,info@main-incubator.com,https://linkedin.com/company/main-incubator,https://www.main-incubator.com/,https://www.main-incubator.com/,"FinTech, B2B SaaS",Accelerator + bis €1M,C,Commerzbank - FinTech fokussiert
Axel Springer Plug and Play,Investment Team,info@axelspringerplugandplay.com,https://linkedin.com/company/axel-springer-plug-and-play,https://www.axelspringerplugandplay.com/,https://www.axelspringerplugandplay.com/,"Media, AdTech, MarTech",Accelerator + €150K,C,Axel Springer - Media Tech Fokus
TechFounders,Program Team,info@techfounders.com,https://linkedin.com/company/techfounders,https://www.techfounders.com/,https://www.techfounders.com/apply/,"DeepTech, Enterprise Software",Accelerator + €25K,B,München - UnternehmerTUM - Corporate Connections
UnternehmerTUM,Investment Team,info@unternehmertum.de,https://linkedin.com/company/unternehmertum,https://www.unternehmertum.de/,https://www.unternehmertum.de/,"Tech Startups",Incubator + VC Access,B,München - TU München - Largest Startup Center Europe
Atlantic Labs,Investment Team,hello@atlantic-labs.de,https://linkedin.com/company/atlantic-labs,https://www.atlantic-labs.de/,https://www.atlantic-labs.de/contact/,"Pre-Seed, Seed",€100K - €1M,B,Berlin - Pre-Seed Spezialist
Creathor Ventures,Investment Team,info@creathor.vc,https://linkedin.com/company/creathor-ventures,https://creathor.vc/,https://creathor.vc/,"Deep Tech, B2B",€500K - €5M,B,München - Deep Tech Fokus
EQT Ventures,Investment Team,ventures@eqtpartners.com,https://linkedin.com/company/eqt-ventures,https://eqtventures.com/,https://eqtventures.com/,"Series A/B",€5M - €30M,C,Stockholm/Berlin - Für spätere Stages
Lakestar,Investment Team,info@lakestar.com,https://linkedin.com/company/lakestar,https://lakestar.com/,https://lakestar.com/,"Series A/B",€3M - €30M,C,Zürich/Berlin - Top-Tier VC (Spotify investor)
Visionaries Club,Investment Team,info@visionaries.club,https://linkedin.com/company/visionaries-club,https://visionaries.club/,Kontakt via Website,"B2B SaaS, FinTech",€500K - €5M,B,Berlin - B2B Fokus
Target Global,Investment Team,info@target-global.com,https://linkedin.com/company/target-global,https://target-global.com/,https://target-global.com/,"Series A+",€5M - €50M,C,Berlin/London - Scale-up Stage
